time_s,normal_mps2,inner_mps2,outer_mps2
0.050000,2.4801441e-01,4.2925294e+01,-8.4678138e+00
0.051000,3.7365629e-02,-2.6711366e-01,-3.1962947e+00
0.052000,-2.9249908e-02,7.6063870e-02,3.7577447e+00
0.053000,1.5276430e-02,-5.9555494e-02,2.6616310e+00
0.054000,-1.4052318e-02,1.6313897e-01,-6.1676735e+00
0.055000,4.0248072e-03,-2.4451591e-01,2.2392068e+00
0.056000,-7.3249256e-03,9.4130920e-02,-1.1304588e+00
0.057000,-4.1656533e-03,2.9834037e-01,8.4160664e-01
0.058000,1.7367391e-03,-3.3992586e-01,-5.2211326e-01
0.059000,3.0589555e-02,1.9331807e-01,4.9623759e-01
0.060000,1.1675211e-03,-9.8322999e-02,-4.7395266e-01
0.061000,-6.4935782e-03,6.1764070e-02,5.9354425e-01
0.062000,-2.6844560e-03,-5.5190149e-02,-8.6499630e-01
0.063000,-3.0181644e-03,1.8680103e-02,1.4761995e+00
0.064000,-2.4240946e-03,-1.4547990e-02,-4.0219111e+00
0.065000,-2.3484076e-03,1.2276987e-02,5.0605946e+00
0.066000,-1.9648533e-03,3.5410308e-03,5.7303593e-01
0.067000,-2.2566055e-03,2.7619647e-03,-7.6444833e+00
0.068000,-3.0961391e-03,-2.6263080e-03,2.3417415e+00
0.069000,-2.8282831e-03,-5.6351226e-03,-1.2209241e+00
0.070000,-5.4630833e-03,-9.3332210e-03,8.3753523e-01
0.071000,-1.5550038e-04,-2.2063229e-03,-5.6770349e-01
0.072000,3.0137788e-02,2.6491820e-02,4.7979567e-01
0.073000,4.6827903e-03,4.9642264e-03,-4.3119685e-01
0.074000,-6.9565158e-03,-4.9649569e-03,5.5169008e-01
0.075000,-2.5221569e-03,-1.1411866e-03,-7.1877283e-01
0.076000,-3.4563464e-03,-1.2633972e-03,1.2788716e+00
0.077000,-2.0081126e-03,-3.6256676e-04,-3.4589061e+00
0.078000,-2.5259589e-03,-1.2020290e-03,1.7676742e-01
0.079000,-2.0673370e-03,-6.2449382e-03,7.2213082e+00
0.080000,-2.4677495e-03,9.8964640e-03,-5.2319719e+00
0.081000,-2.7890655e-03,-2.1782892e-03,9.8268363e-01
0.082000,-3.4600724e-03,-8.7552240e-03,-3.9917601e-01
0.083000,-4.8016988e-03,-3.4496877e-02,3.6108767e-01
0.084000,-2.9795657e-03,2.6043329e-02,-2.4731193e-01
