frequency_hz,normal_raw_power,inner_raw_power,outer_raw_power,normal_envelope_power,inner_envelope_power,outer_envelope_power
0.000000000,5.913037049e-07,2.195865210e-02,9.603516977e-03,1.744560029e-03,5.057637480e+00,2.989641091e+00
3.333159731,2.956200431e-07,1.272528524e-02,6.526350603e-03,9.295140412e-04,4.410937411e-01,1.454929046e+00
6.666319463,5.277062680e-14,1.386695977e-03,3.272308437e-03,5.524592701e-07,3.578641132e+00,1.410855179e-02
9.999479194,1.058886355e-13,9.208196929e-04,9.464717846e-03,7.353287797e-07,5.917760505e-01,1.536982400e-02
13.332638925,6.021737001e-13,7.620051849e-04,1.154246593e-03,8.867675078e-07,6.720416840e-01,5.498998919e-02
16.665798656,5.180743434e-12,1.281889209e-03,1.052945967e-02,9.183784815e-07,5.466900568e+00,3.357119840e-02
19.998958388,2.514350225e-10,1.057265707e-03,1.350731607e-02,8.011316256e-07,7.521334667e+02,9.267525715e-02
23.332118119,6.215585257e-09,1.002461045e-04,4.305575268e-03,1.311987558e-06,1.109054329e+04,1.967558774e-02
26.665277850,6.247268016e-09,2.272369580e-04,1.561112284e-02,2.033937164e-07,8.860378249e+03,3.711615569e-01
29.998437581,2.466328164e-10,1.270894660e-03,2.134543900e-02,3.939459301e-07,2.653205629e+02,2.912700907e-01
33.331597313,4.294990960e-12,1.240875238e-03,1.029479577e-03,1.821071358e-07,4.978430998e+00,3.013919594e+01
36.664757044,2.822071229e-13,7.658550108e-04,2.113026288e-03,1.102327557e-07,5.757155245e-01,5.826624155e+02
39.997916775,3.648862484e-15,1.079639038e-03,2.662081426e-03,7.507685588e-08,6.550854815e-01,5.075638021e+02
43.331076506,5.656686617e-14,1.433861873e-03,3.060854446e-03,5.934278888e-08,1.077668765e+01,1.607589652e+01
46.664236238,4.661787499e-13,2.906860960e-04,4.058735671e-02,7.594242855e-08,1.865566413e+03,1.625133414e-01
49.997395969,7.200646486e-12,9.921023108e-05,2.247132892e-02,6.711586301e-08,4.460301868e+03,3.180387170e-01
53.330555700,6.244612428e-12,9.748022874e-04,4.757249454e-03,9.988514391e-08,6.966424933e+02,2.761567377e-02
56.663715431,3.580338207e-12,1.578207009e-03,1.216717506e-02,3.163689524e-08,1.413992699e+00,5.097962051e-02
59.996875163,1.236170925e-11,1.006255569e-03,7.056676172e-03,2.451019104e-08,4.598870851e-02,6.955725297e-02
63.330034894,5.162804892e-11,9.303670994e-04,1.245861648e-03,2.489124253e-08,1.145631723e-01,5.509211543e-02
66.663194625,3.452826665e-10,1.609542174e-03,6.117411270e-03,2.449532974e-08,8.413662644e-01,1.838779348e-01
69.996354357,6.545194882e-09,6.941159164e-04,1.544970496e-03,1.122102621e-07,2.236878120e+02,6.605173666e+00
73.329514088,5.072771073e-06,9.169679268e-05,6.065454836e-03,1.461396707e-04,1.940174758e+03,4.699250102e+03
76.662673819,1.495858032e-05,8.229438148e-04,1.756972600e-02,4.154288295e-04,1.048485938e+03,1.384258450e+04
79.995833550,2.712217123e-06,1.665168820e-03,6.168534430e-03,7.934501148e-05,1.272341638e+01,2.507741419e+03
83.328993282,3.052417729e-09,1.432045557e-03,4.735325172e-03,1.692085853e-07,6.558263179e-01,3.214224263e+00
86.662153013,2.213514969e-10,9.931986918e-04,1.050439831e-02,3.582062957e-08,7.431340930e-02,1.107441944e-01
89.995312744,3.776762942e-11,1.545848986e-03,6.493728609e-04,1.970392272e-08,1.413505639e-01,5.508840095e-02
93.328472475,9.767570336e-12,1.442873335e-03,1.146117957e-02,1.415984744e-08,1.107939617e+01,5.481233107e-02
96.661632207,6.965496505e-12,1.061769415e-04,1.103013747e-02,1.913634171e-08,6.179930535e+02,3.058533714e-02
99.994791938,3.688596404e-11,1.816485800e-03,2.879338949e-03,2.755094856e-08,1.036544190e+03,2.486215785e-02
103.327951669,3.296315239e-11,1.979868462e-03,9.821046866e-03,3.355012384e-08,1.072725348e+02,1.796125858e-01
106.661111400,6.553932828e-13,1.867723167e-03,1.024340116e-02,3.145414404e-09,6.184162925e-01,3.209080601e-02
109.994271132,2.687199149e-13,1.252273194e-03,3.924476227e-04,1.113030145e-09,4.917755148e-03,4.319335394e+00
113.327430863,3.676715689e-13,1.391662370e-03,4.405539466e-03,7.446534576e-10,6.866106453e-02,5.193900976e+01
116.660590594,5.478258638e-13,2.263067500e-03,4.835061794e-03,7.280341080e-10,1.730050523e-02,3.434001264e+01
119.993750326,9.641315446e-13,8.027969794e-05,6.311578881e-03,1.035610209e-09,1.259817385e+02,7.343087861e-01
123.326910057,5.255200884e-12,3.339199553e-03,5.635715932e-02,3.397092401e-09,6.693272987e+02,4.759322416e-02
126.660069788,5.116818468e-11,3.566976450e-03,2.344051035e-02,1.649131538e-08,2.497688397e+02,9.207510807e-02
129.993229519,3.372526593e-11,2.396824712e-03,3.757433746e-03,5.950033219e-09,1.077433283e+00,1.973167591e-02
133.326389251,2.221737358e-11,1.692929653e-03,7.960130698e-03,6.324969536e-09,7.453632034e-02,2.800980386e-02
136.659548982,7.208527507e-11,1.312524739e-03,3.356191093e-03,7.707895349e-09,3.957409341e-02,5.048081014e-02
