sample_id,class,label,split,run_id,window_index_in_run,start_sample,window_samples,stride_samples,initial_ball_angle_rad,mean,std,rms_ac
0,normal,0,train,normal_train_r00,0,0,2048,1024,0.6936996648998708,0.5360254049301147,38.191524505615234,38.191524505615234
1,normal,0,train,normal_train_r00,1,1024,2048,1024,0.6936996648998708,-0.06949929893016815,5.053511142730713,5.053511142730713
2,normal,0,val,normal_val_r00,0,0,2048,1024,2.072558136816122,0.520258903503418,38.41429138183594,38.41429138183594
3,normal,0,val,normal_val_r00,1,1024,2048,1024,2.072558136816122,-0.07154791802167892,5.094264030456543,5.094264030456543
4,normal,0,test,normal_test_r00,0,0,2048,1024,1.6753395421882675,0.5788588523864746,37.89685821533203,37.89685821533203
5,normal,0,test,normal_test_r00,1,1024,2048,1024,1.6753395421882675,-0.07048209756612778,5.020654201507568,5.020654201507568
6,inner,1,train,inner_train_r00,0,0,2048,1024,4.0370131448755515,0.4720621705055237,183.73403930664062,183.73403930664062
7,inner,1,train,inner_train_r00,1,1024,2048,1024,4.0370131448755515,-1.0352957248687744,298.5508117675781,298.5508117675781
8,inner,1,val,inner_val_r00,0,0,2048,1024,4.477446539544028,-0.7534434795379639,179.65982055664062,179.65982055664062
9,inner,1,val,inner_val_r00,1,1024,2048,1024,4.477446539544028,1.7892746925354004,210.38157653808594,210.38157653808594
10,inner,1,test,inner_test_r00,0,0,2048,1024,4.278725195331204,0.6581031084060669,199.96456909179688,199.96456909179688
11,inner,1,test,inner_test_r00,1,1024,2048,1024,4.278725195331204,0.17944231629371643,250.4639892578125,250.4639892578125
12,outer,2,train,outer_train_r00,0,0,2048,1024,2.295266889309995,-0.08086395263671875,365.0971984863281,365.0971984863281
13,outer,2,train,outer_train_r00,1,1024,2048,1024,2.295266889309995,-2.2617926597595215,351.1412048339844,351.1412048339844
14,outer,2,val,outer_val_r00,0,0,2048,1024,0.9854930709362479,0.681853711605072,355.0700988769531,355.0700988769531
15,outer,2,val,outer_val_r00,1,1024,2048,1024,0.9854930709362479,0.5724096298217773,332.3619079589844,332.3619079589844
16,outer,2,test,outer_test_r00,0,0,2048,1024,0.6295242221794156,1.2096021175384521,393.4560241699219,393.4560241699219
17,outer,2,test,outer_test_r00,1,1024,2048,1024,0.6295242221794156,-3.0342116355895996,428.396728515625,428.396728515625
